"Organization Name","Address","City","State","Postcode","Main Phone #","Discipline","Council District","Community Board","Borough","Latitude","Longitude","Census Tract","BIN","BBL","NTA"
"Imagine Science Films","New Lab, Building 128, Suite 201","Brooklyn","NY","11205","(718) 596-6404","Film/Video/Audio","Brooklyn Council District #33","Brooklyn Community Board #2","Manhattan",,,,,,
"Imani Winds Foundation","123 W 128th Street Apt. 1","New York","NY","10027","(917) 971-0525","Music","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.810073","-73.944961","224","1087398","1019130019","MN1002"
"Immaterial Incorporated","181 Wyckoff Street","Brooklyn","NY","11217","(718) 222-8434","Visual Arts","Brooklyn Council District #38","Brooklyn Community Board #2","Brooklyn","40.68462","-73.987128","71","3005872","3003860050","BK0601"
"Immediate Medium","525 Grand St","Brooklyn","NY","11211","(646) 526-4523","Multi-Discipline, Performing","Queens Council District #26","Brooklyn Community Board #1","Brooklyn","40.711053","-73.950183","513","3338177","3027790043","BK0102"
"Immigrant Adult Support Center","10 St. Paul Place","Brooklyn","NY","11226","(718) 940-5295","Multi-Discipline, Non-Perform","Brooklyn Council District #40","Brooklyn Community Board #14","Brooklyn","40.653695","-73.964022","50804","3328161","3050520027","BK1401"
"Immigrants' Theatre Project, Inc.","44 Douglass St.","Brooklyn","NY","11231","(718) 237-4545","Theater","Brooklyn Council District #33","Brooklyn Community Board #6","Manhattan",,,,,,
"Immigrant Social Services, Inc.","137 Henry Street","New York","NY","10002","(212) 571-1840","Multi-Discipline, Non-Perform","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.71333","-73.990827","6","1003564","1002830015","MN0301"
"Impact Theatre, Inc.","210 W. 101st St. #2B","NYC","NY","10025","(212) 662-4108","Theater","Manhattan Council District #8","Manhattan Community Board #7","Manhattan","40.797538","-73.968755","187","1056485","1018720043","MN0703"
"InCollaboration, Inc.","29-27 Queens Plaza North","Long Island City","NY","11101","(718) 391-0354","Multi-Discipline, Non-Perform","Queens Council District #26","Queens Community Board #1","Queens","40.749915","-73.93663","3301","4004872","4004030009","QN0105"
"Incorporation of Artists on the Move, Inc.","118 West 114th Street, 1E","New York","NY","10026","(212) 665-5313","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #9","Bronx Community Board #10","Manhattan","40.801185","-73.951759","216","1055028","1018230045","MN1001"
"Independent Curators International","401 Broadway","New York","NY","10013","(212) 254-8200","Visual Arts","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.71871","-74.002482","33","1002310","1001940042","MN0102"
"Independent Feature Project, Inc.","55 Washington St.","Brooklyn","NY","11201","(212) 465-8200","Film/Video/Audio","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.70273","-73.989602","21","3000088","3000380001","BK0202"
"Independent Media Arts Preservation, Inc.","c/o Lehman College, Leif Lib. 201","Bronx","NY","10468","(212) 560-7259","New Media","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",,,,,,
"India Center","244 5th Avenue","New York","NY","10001","(917) 541-8577",,,"Manhattan Community Board #5","Manhattan","40.744521","-73.987427","58","1015690","1008290040","MN0501"
"India Center Foundation, Inc.","15 Clark Street, Suite 3C","Brooklyn","NY","11201","(917) 209-1598","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #33","Brooklyn Community Board #2","Manhattan",,,,,,
"IndieSpace, Inc.","48-15 28th Avenue","Astoria","NY","11103","(917) 626-1369","Theater","Queens Council District #22","Queens Community Board #1","Queens","40.7624","-73.907105","145","4013953","4007440004","QN0104"
"Indo-American Arts Council, Inc.","303 5th Avenue","New York","NY","10016","(212) 594-3685","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #5","Manhattan Community Board #5","Manhattan","40.746679","-73.985835","74","1016981","1008610001","MN0501"
"Indochina Sino-American Senior Citizen Center, Inc.","170 Forsyth St, 2nd Fl","New York","NY","10002","(212) 226-0317","Visual Arts","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.721238","-73.991385","3601","1075911","1004217502","MN0302"
"IndyKids","811 Avenue H","Brooklyn","NY","11230","(212) 592-0116","New Media","Manhattan Council District #1","Brooklyn Community Board #12","Brooklyn","40.629262","-73.968726","460","3170160","3064960039","BK1402"
"Infinity Dance Theater Company, Ltd.","220 West 93rd Street, Apt. 6C","New York","NY","10025","(212) 877-3490","Dance","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.792475","-73.972622","179","1033616","1012407502","MN0702"
"Infopower International Inc.","18-17 Gateway Blvd","Far Rockaway","NY","11691","(347) 606-5441","Multi-Discipline, Non-Perform","Queens Council District #31","Queens Community Board #14","Queens","40.600262","-73.75108","101003","4449669","4156280026","QN1401"
"Innovative Charitable Initiative, Inc.","1361 Amsterdam Avenue","New York","NY","10027","(212) 222-2792","Multi-Discipline, Non-Perform","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.814216","-73.95564","21303","1081781","1019670040","MN0902"
"Innovative Theatre Foundation","PO Box 2104","New York","NY","10108","(347) 927-3366","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",,,,,,
"Inoue Chamber Ensemble, Inc.","440 Riverside Drive, Suite 126","New York","NY","10027","(212) 864-6459","Music","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.808999","-73.965686","205","1059817","1019900001","MN0901"
"In Parentheses, Inc","67 Saint Felix Street","New York","NY","11217","(917) 935-1595","Theater","Brooklyn Council District #35","Brooklyn Community Board #2","Manhattan",,,,,,
"Inquiring Minds Institute","321 Adelphi Street","Brooklyn","NY","11205","(347) 227-7004","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.687886","-73.970804","181","3335278","3021040065","BK0203"
"Inside Change from Within, Inc.","8 Spring Street","New York City","NY","10012","(917) 607-7922","Visual Arts","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.721153","-73.994343","41","1007139","1004780020","MN0201"
"Inspiring Minds of New York City Inc.","410 Franklin Avenue","Brooklyn","NY","11238","(212) 470-6559","Science","Brooklyn Council District #35","Brooklyn Community Board #3","Brooklyn","40.684631","-73.956383","229","3390210","3019870044","BK0301"
"Institute for Multicultural Communication Coop & Development","4 West 43rd St","New York","NY","10036","(646) 657-0039","Multi-Discipline, Non-Perform","Manhattan Council District #4","Manhattan Community Board #5","Manhattan","40.754371","-73.980932","96","1034201","1012580042","MN0502"
"Institute for Public Architecture","900 Broadway","New York","NY","10003","(212) 219-9931","Architecture/Design","Manhattan Council District #2","Manhattan Community Board #5","Manhattan","40.739109","-73.989773","52","1016184","1008480061","MN0501"
"Instituto Arte Teatral Internacional, Inc.","64 E 4th St","New York","NY","10003","(212) 505-6757","Theater","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.72667","-73.99058","38","1077965","1004590018","MN0303"
"Inta, Inc.","505 East 79th Street","New York","NY","10075","(212) 278-8111","Dance","Manhattan Council District #3","Manhattan Community Board #8","Manhattan","40.77119","-73.949932","13602","1050765","1015760005","MN0803"
"Interactive Drama for Education and Awareness in Schools, Inc.","98 4th Street, Ste. 305","Brooklyn","NY","11231","(718) 387-5055","Theater","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn","40.676625","-73.992966","77","3008082","3004710125","BK0601"
"Intercultural Alliance of Artists & Scholars, Inc.","140-21 31st Road, 4G","Flushing","NY","11354","(718) 545-0763","Literature","Queens Council District #20",,"Queens","40.770685","-73.827623","88903","4440071","4043430125","QN0704"
"Interfaith League of Devotees","25 First Avenue","New York","NY","10003","(347) 251-4242","Multi-Discipline, Non-Perform","Manhattan Council District #2","Manhattan Community Board #2","Manhattan","40.723661","-73.988163","3602","1006094","1004430033","MN0303"
"Internal Creations, Inc.","867 W 181st #6B","New York","NY","10033","(646) 244-5819","Music","Manhattan Council District #10","Manhattan Community Board #12","Manhattan",,,,,,
"International African Arts Festival","1360 Fulton Street","Brooklyn","NY","11216","(718) 638-6700","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #35","Brooklyn Community Board #3","Brooklyn","40.680186","-73.94593","247","3329709","3018620001","BK0301"
"International Agency for Minority Artists Affairs, Inc.","Adam Clayton Powell, Jr. State Office Building","New York","NY","10027","(212) 749-5298","Multi-Discipline, Non-Perform","Manhattan Council District #9","Manhattan Community Board #10","Manhattan",,,,,,
"International Arts Movement, Inc.","Space 38|39","New York","NY","10018","(646) 261-2859","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",,,,,,
"International Arts Relations, Inc.","500 West 52nd Street","New York","NY","10019","(212) 695-6134","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.765964","-73.990971","13501","1088274","1010800028","MN0402"
"International Association of Art Critics American Section","330 East 63rd Street","New York","NY","10065",,,,"Manhattan Community Board #8","Manhattan","40.762565","-73.961245","110","1044377","1014370041","MN0801"
"International Black Film Festival, Inc","P.O. Box 2558","New York","NY","10108","(347) 371-2544","Film/Video/Audio","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",,,,,,
"International Brazilian Opera Company","203 W 111 St 4A","New York","NY","10026","(646) 922-7640",,,"Manhattan Community Board #10","Manhattan","40.800262","-73.955379","216","1055083","1018270026","MN1001"
"International Center of Photography","84 Ludlow Street","New York","NY","10002","(212) 857-0000","Museum","Manhattan Council District #3","Manhattan Community Board #3","Manhattan","40.718142","-73.989336","18","1090849","1004097502","MN0302"
"International Contemporary Ensemble Foundation, Inc.","80 Hanson Pl","Brooklyn","NY","11217","(347) 227-7320","Music","Brooklyn Council District #38","Brooklyn Community Board #2","Brooklyn","40.685488","-73.974421","35","3057479","3020030034","BK0203"
"International Film Seminars, Inc.","335 East 14th Street","New York","NY","10009","(207) 975-6448","Film/Video/Audio","Manhattan Council District #3","Manhattan Community Board #6","Manhattan","40.731648","-73.983247","48","1020402","1009210019","MN0602"
"International Girls Ensemble","174 West 141st Street 4R","New York","NY","10030","(917) 579-9825",,,"Manhattan Community Board #10","Manhattan","40.818727","-73.940073","230","1060079","1020090061","MN1002"
"International Human Rights Art Festival","4142 73rd Street","Woodside","NY","11377","(240) 305-6742",,,"Queens Community Board #2","Queens","40.744153","-73.891836","26501","4030671","4013120043","QN0401"
"International Print Center New York","535 W 24th St","New York","NY","10011","(212) 989-5090","Visual Arts","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.748936","-74.005042","9901","1012366","1006960013","MN0401"
"International Society for the Performing Arts Foundation","630 9th Avenue","New York","NY","10036","(212) 206-8490","Multi-Discipline, Performing","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.760038","-73.991449","12101","1024982","1010350001","MN0402"
"International Studio and Curatorial Program","1040 Metropolitan Avenue","Brooklyn","NY","11211","(212) 279-1173","Visual Arts","Brooklyn Council District #34","Brooklyn Community Board #1","Brooklyn","40.714429","-73.934803","44902","3338341","3029250001","BK0104"
"International Youth Leadership Institute","127 West 127 Street","New York","NY","10027","(212) 222-0404","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.809488","-73.945496","224","1057904","1019120012","MN1002"
"Intrepid Museum Foundation, Inc.","One Intrepid Square","New York","NY","10036","(212) 957-3700","Museum","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",,,,,,
"Inwood Art Works Inc","97 Park Ter W","New York City","NY","10034","(513) 290-9003","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.872003","-73.916447","307","1065039","1022430382","MN1203"
"Irish Repertory Theatre Company, Inc.","132 West 22nd Street","New York","NY","10011","(212) 255-0270","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.74268","-73.99437","87","1014777","1007977503","MN0401"
"Irondale Productions, Inc.","85 S. Oxford St.","New York","NY","11217","(718) 488-9233","Theater","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.686942","-73.97357","181","3059350","3021180011","BK0203"
"IRT Theater, Inc.","154 Christopher Street","New York","NY","10014","(212) 206-6875","Theater","Manhattan Council District #2","Manhattan Community Board #2","Manhattan","40.73273","-74.008129","69","1010421","1006040033","MN0203"
"Isadora Duncan Dance Foundation","141 West 26th Street, 3rd Floor","New York","NY","10001","(917) 836-9514","Dance","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.745343","-73.992674","95","1080591","1008020017","MN0501"
"Isamu Noguchi Foundation and Garden Museum","32-37 Vernon Boulevard","Long Island City","NY","11106","(718) 204-7088","Museum","Queens Council District #26","Queens Community Board #1","Queens","40.767243","-73.937405","45","4307192","4003147501","QN0105"
"Island Kids, Inc.","P.O. Box 2, Island Station","New York","NY","10044","(212) 421-3512","Multi-Discipline, Non-Perform","Manhattan Council District #5","Manhattan Community Board #8","Manhattan",,,,,,
"Island Voice, Inc.","P.O. Box 141274","Staten Island","NY","10314","(718) 273-7736","Multi-Discipline, Performing","Staten Island Council Dist #49","Staten Island Community Brd #1","Staten Island",,,,,,
"Issue Project Room, Inc.","22 Boerum Place","Brooklyn","NY","11201","(718) 812-1129","Music","Brooklyn Council District #38","Brooklyn Community Board #2","Brooklyn","40.690903","-73.989384","9","3002642","3002697501","BK0201"
"Italian American Museum","151 Mulberry Street","New York","NY","10013","(212) 965-9000","Museum","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.719021","-73.997457","41","1003074","1002367504","MN0201"
"J. Mandle Performance, Inc.","232 Third Street, #D0A","Brooklyn","NY","11215","(917) 319-5897","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #38","Brooklyn Community Board #6","Manhattan",,,,,,
"J'Ouvert City International, Inc.","13 Atlantic Commons","Brooklyn","NY","11217","(718) 636-8029","Other","Brooklyn Council District #40","Brooklyn Community Board #9","Brooklyn","40.684186","-73.972702","179","3341470","3020050165","BK0203"
"Jack Arts, Inc.","20 Putnam Avenue","Brooklyn","NY","11238","(646) 734-8985","Multi-Discipline, Performing","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.682745","-73.961125","227","3057238","3019910016","BK0301"
"Jackie Robinson Foundation","75 Varick","New York","NY","10013","(212) 290-8600","Museum","Manhattan Council District #1","Manhattan Community Board #2","Manhattan",,,,,,
"Jackie Robinson Park Conservancy","85-89 Bradhurst Avenue","New York","NY","10039","(212) 252-2113","Music","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.824198","-73.942229","231","1084164","1020520001","MN0903"
"JACK Music Inc","350 Fort Washington Ave","New York","NY","10033","(574) 238-1333","Music","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.84689","-73.939899","263","1063506","1021420175","MN1201"
"Jackson Heights Art Club, Inc.","33-50 82nd Street","Jackson Heights, NY 11372","NY","11372","(718) 899-0065","Visual Arts","Queens Council District #25","Queens Community Board #3","Queens","40.754645","-73.885213","283","4028776","4012540032","QN0301"
"Jackson Heights Beautification Group","PO Box 720253","Jackson Heights","NY","11372","(917) 509-8757","Music","Queens Council District #25","Queens Community Board #3","Queens",,,,,,
"Jacques Marchais Center of Tibetan Arts, Inc.","338 Lighthouse Avenue","Staten Island","NY","10306","(718) 987-3500","Museum","Staten Island Council Dist #50","Staten Island Community Board #2","Staten Island","40.576285","-74.138645","279","5095332","5022750004","SI0203"
"Jamaica Center for Arts & Learning, Inc.","161-04 Jamaica Avenue","Jamaica","NY","11432","(718) 658-7400","Multi-Discipl, Perf & Non-Perf","Queens Council District #27","Queens Community Board #12","Queens","40.704025","-73.798437","44601","4215617","4101010011","QN1201"
"Jamel Gaines Creative Outlet Inc","138 South Oxford Street","Brooklyn","NY","11217","(917) 500-8774","Dance","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.685073","-73.973221","179","3000000","3020040048","BK0203"
"JAMES BALDWIN OUTDOOR LEARNING CENTER, INC.","600 West 246th St.","Bronx","NY","10471","(917) 232-1385","Other","Bronx Council District #11","Bronx Community Board #7","Bronx","40.892614","-73.910207","30701","2091924","2059090825","BX0803"
"James Beard Foundation","34 West 15th Street","New York","NY","10011","(212) 627-2308","Other","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.737333","-73.994667","54","1015297","1008160061","MN0501"
"Japanese Folk Dance Institute of New York, Inc.","568 Grand St. Apt. J1206","New York","NY","10002","(212) 982-6952","Multi-Discipline, Performing","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.713732","-73.979161","1001","1083419","1003210001","MN0302"
"Japan Performing Arts, Inc.","4124","Woodside","NY","11377","(646) 201-8129","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Queens Community Board #2","Queens",,,,,,
"Japan Society, Inc.","333 E 47th St","New York","NY","10017","(212) 715-1212","Museum","Manhattan Council District #4","Manhattan Community Board #6","Manhattan","40.75236","-73.968404","90","1038908","1013400016","MN0604"
"Jazz at Lincoln Center, Inc.","3 Columbus Circle","New York","NY","10019","(212) 258-9865","Music","Manhattan Council District #6","Manhattan Community Board #5","Manhattan","40.766835","-73.981968","137","1024900","1010297501","MN0502"
"Jazz Bytes, Inc.","1539 Lexington Avenue, Apt. 5E","New York","NY","10029","(212) 876-9252","Music","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.78745","-73.949765","166","1082319","1016260021","MN1101"
"Jazz Drama Program","5030 Broadway","New York","NY","10034","(917) 818-1759","Multi-Discipline, Performing","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.868979","-73.917383","303","1064883","1022310001","MN1203"
"Jazz Foundation of America, Inc.","247 West 37th Street, Suite 201","New York","NY","10018","(212) 245-3999","Music","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.753475","-73.990594","109","1014454","1007870011","MN0502"
"Jazz Gallery","1158 Broadway","New York","NY","10001","(212) 242-1063","Music","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.744489","-73.988513","58","1080699","1008290030","MN0501"
"Jazzmobile, Inc.","163 W 125th St","New York","NY","10027","(212) 866-4900","Music","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.808644","-73.947524","222","1081602","1019100001","MN1001"
"Jazz Passengers Music Projects, Inc","559 Marlborough Rd","Brooklyn","NY","11226","(212) 929-4873","Music","Manhattan Council District #3","Brooklyn Community Board #14","Brooklyn","40.636353","-73.963494","520","3120182","3052010051","BK1402"
"JazzReach Performing Arts and Education Association","42 Main St","Brooklyn","NY","11201","(718) 625-5188","Music","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.702659","-73.990702","21","3000085","3000367502","BK0202"
"J CHEN PROJECT, Inc","661 9th Ave, Apt D","New York","NY","10036","(626) 893-1802","Dance","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.760858","-73.990871","12102","1026456","1010550035","MN0402"
"Jewish Children's Learning Lab","515 West 20th Street","New York","NY","10011","(212) 924-4500","Humanities","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.746215","-74.006456","9901","1012296","1006920023","MN0401"
"Jewish Children's Museum","792 Eastern Pkwy","Brooklyn","NY","11213","(718) 467-0600","Museum","Brooklyn Council District #35","Brooklyn Community Board #9","Brooklyn","40.669369","-73.941736","33702","3033058","3012720006","BK0901"
"Jewish Community Center in Manhattan, Inc.","334 Amsterdam Avenue","New York","NY","10023","(646) 505-4471","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.781014","-73.979891","163","1085971","1011670033","MN0702"
"Jewish Community Center of Staten Island, Inc.","1466 Manor Road","Staten Island","NY","10314","(718) 475-5235","Film/Video/Audio","Staten Island Council Dist #50","Staten Island Community Brd #2","Staten Island","40.594916","-74.125393","181","5141743","5009550100","SI0203"
"Jewish Community Council of Greater Coney Island","3001 West 37th Street","New York","NY","11224","(718) 449-5000","Other","Brooklyn Council District #47","Brooklyn Community Board #13","Brooklyn","40.573177","-74.002509","340","3189617","3070650001","BK1302"
"Jewish Community Council of Pelham Parkway, Inc.","2157 Holland Avenue","Bronx","NY","10462","(718) 792-4744","Music","Bronx Council District #13","Bronx Community Board #11","Bronx","40.855218","-73.86574","22403","2049409","2043190045","BX1101"
"Jewish Community Council of the RockawayPeninsula","1525 Central Avenue","Far Rockaway","NY","11691","(718) 327-7755","Music","Queens Council District #31","Queens Community Board #14","Queens","40.605645","-73.751391","103202","4298051","4155450023","QN1401"
"Jewish Folk Crafts Guild, Inc.","P.O. Box 297191","Brooklyn","NY","11229","(646) 321-5220","Crafts","Brooklyn Council District #46","Brooklyn Community Board #15","Brooklyn",,,,,,
"Jewish Museum","1109 Fifth Avenue","New York","NY","10128","(212) 423-3215","Museum","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.785298","-73.957263","16001","1047052","1015040001","MN0802"
"Jewish Plays Project","53 Lefferts Ave","Brooklyn","NY","11225","(347) 878-5771","Theater","Brooklyn Council District #40","Brooklyn Community Board #9","Brooklyn","40.661834","-73.959281","327","3034925","3013180086","BK0902"
"Jewish Theater of New York Incorporated","P.O. Box 845","New York","NY","10108","(212) 494-0050","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",,,,,,
"Jiva Performing Arts, Inc.","22-44 Jackson Avenue","Long Island City","NY","11101","(646) 251-7463","Multi-Discipline, Performing","Brooklyn Council District #34","Queens Community Board #2","Queens","40.74564","-73.94609","1901","4596913","4000867501","QN0201"
"Joan Miller and the Chamber Arts Dance Players, Inc.","1380 Riverside Drive, #10B","New York","NY","10033","(212) 568-8854","Dance","Manhattan Council District #7","Manhattan Community Board #12","Manhattan","40.852295","-73.941359","275","1064332","1021790005","MN1202"
"Jody Sperling Time Lapse Dance, Inc.","825 West End Avenue #13G","New York","NY","10025","(212) 866-1759","Dance","Manhattan Council District #9","Manhattan Community Board #7","Manhattan","40.798027","-73.971196","187","1057135","1018897501","MN0703"
"John Jay College Foundation","555 W 57th Street","New York","NY","10019","(212) 237-8321","Multi-Discipline, Performing","Manhattan Council District #6","Manhattan Community Board #4","Manhattan","40.770009","-73.990657","13502","1027072","1010867502","MN0402"
"Jonah Bokaer Arts Foundation, Inc.","304 Boerum Street","Brooklyn","NY","11206","(917) 459-1072","Multi-Discipline, Performing","Brooklyn Council District #34","Brooklyn Community Board #4","Brooklyn","40.70675","-73.93542","485","3071388","3030830006","BK0104"
"Jon Lehrer Dance, Inc.","44-14 Newtown Road","Astoria","NY","11103","(315) 534-4261",,,"Queens Community Board #1","Queens","40.759172","-73.914155","153","4012495","4007090028","QN0104"
"Jose Limon Dance Foundation, Inc.","466 West 152nd Street, 2nd Fl","New York City","NY","10031","(212) 777-3353","Dance","Manhattan Council District #3","Manhattan Community Board #9","Manhattan","40.829329","-73.943644","23501","1061605","1020660059","MN0903"
"Joseph Gheraldi Playwright's Theatre","252 Reid Avenue","New York","NY","10305","(718) 351-6147","Theater","Staten Island Council Dist #50","Staten Island Community Brd #2","Staten Island","40.594306","-74.087239","9601","5049030","5033250046","SI0201"
"Josephine Herrick Project, Inc.","64 Fulton St","New York","NY","10038","(212) 213-4946","Photography","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.708769","-74.005136","1502","1001176","1000760001","MN0101"
"Joyce Theater Foundation, Inc.","175 Eighth Avenue","New York","NY","10011","(212) 691-9740","Dance","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.742757","-74.000346","89","1013110","1007420039","MN0401"
"Jozef Pilsudski Institute of America for Research in Modern History of Poland, Inc.","138 Greenpoint Ave","New York","NY","11222","(212) 505-9077","Humanities","Manhattan Council District #2","Brooklyn Community Board #1","Brooklyn","40.730084","-73.95535","565","3421613","3025630133","BK0101"
"Judd Foundation","101 Spring Street","New York","NY","10012","(212) 219-2747","Architecture/Design","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.72333","-73.999405","49","1007585","1004980027","MN0201"
"Judson Memorial Church Inc","239 Thompson St","New York","NY","10012","(212) 477-0351","Multi-Discipline, Performing","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.729923","-73.998409","65","1086188","1005417501","MN0202"
"Juggernaut Theatre Co., Inc.","P.O. Box 328","New York","NY","10011","(718) 875-7577","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",,,,,,
"Julia de Burgos Latino Cultural Center","1689 Lexington Avenue","New York","NY","10029","(222) 222-2222",,,,"Manhattan","40.792342","-73.946197","172",,,"MN1101"
"Juneteenth Festival, Inc.","605 Water Street, Apt. 21B","New York","NY","10002","(212) 964-1904","Theater","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.711249","-73.98445","202","1003141","1002440019","MN0302"
"Jupiter Symphony of New York, Inc.","155 West 68th Street","New York","NY","10023","(212) 799-1259","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.775704","-73.982659","15302","1028950","1011407501","MN0701"
"Jurukan, Inc.","118-17 Union Tpke","Forest Hills","NY","11375","(347) 955-2745","Multi-Discipl, Perf & Non-Perf","Queens Council District #29","Queens Community Board #6","Queens","40.712636","-73.834609","76901","4079634","4033340260","QN0602"
"K.S. J.A.M.M. Dance Troupe, Inc.","347 Nostrand Avenue","Brooklyn","NY","11216","(347) 789-4849","Dance","Brooklyn Council District #35","Brooklyn Community Board #3","Brooklyn","40.686378","-73.95076","251","3426264","3018087501","BK0301"
"Kaiser's Room Inc","101 w.23rd street","New York","NY","10011","(917) 727-2046","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.743097","-73.993226","91","1014954","1007990035","MN0401"
"Kalavant Center for Music and Dance","326 East 11th Street, Ste. 2","New York","NY","10003","(212) 475-2348","Music","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.729812","-73.985063","4001","1006442","1004520021","MN0303"
"Kan Cobra Tiger Alliance, Inc.","20 New York Avenue Suite 100","Brookyn","NY","11206","(917) 294-5877","Music","Brooklyn Council District #42","Brooklyn Community Board #3","Brooklyn","40.679602","-73.946817","247","3053759","3018610037","BK0301"
"Kathak Ensemble & Friends Caravan, Inc.","141 East 3rd Street, Apt. 12-H","New York","NY","10009","(212) 673-1282","Multi-Discipline, Performing","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.723793","-73.985602","32","1005762","1004310031","MN0303"
"Kathryn Posin Dance Foundation","20 Bond Street","New York","NY","10012","(212) 777-1515","Dance","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.726472","-73.993762","5502","1008500","1005300058","MN0202"
"Kaufman Arts District Foundation","c/o Kaufman Astoria Studios","Astoria","NY","11106","(718) 705-5075","Multi-Discipline, Performing","Queens Council District #26","Queens Community Board #1","Queens","40.757447","-73.923921","57",,,"QN0103"
"KDNY Incorporated","213 West 127th Street","New York","NY","10027","(646) 529-6412","Dance","Manhattan Council District #4","Manhattan Community Board #5","Manhattan","40.810455","-73.947768","224","1081506","1019330001","MN1002"
"Keen Theater Company, Inc.","C/O Moses Singer, 405 Lexington Ave","New York","NY","10174","(212) 216-0963","Theater","Manhattan Council District #3","Manhattan Community Board #6","Manhattan",,,,,,
"Keep Empowering Youth Achievement","187 19 Linden blvd","Saint Albans","NY","11434","(347) 529-9270","Dance","Queens Council District #27","Queens Community Board #12","Queens","40.692025","-73.765039","398","4221033","4103800025","QN1205"
"Keep Rising to the Top, Inc.","119 East 102 Street, Apt. 5B","New York","NY","10029","(212) 410-9426","Dance","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.790008","-73.948885","166","1051879","1016300010","MN1101"
"Kehila Kedosha Janina Synagogue and Museum","280 Broome Street","New York","NY","10002","(212) 431-1619","Museum","Manhattan Council District #1",,"Manhattan","40.718466","-73.991328","18","1005465","1004140027","MN0302"
"Keigwin and Company, Inc.","450 Lexington Avenue, #2361","New York","NY","10163","(212) 278-0691","Dance","Manhattan Council District #3","Manhattan Community Board #8","Manhattan","40.753102","-73.974854","92","1085671","1012800090","MN0604"
